date,rank_score
2022-07-29,687895
2022-07-29,1683265
2022-07-29,5710672
2022-07-29,443068
2022-07-29,739104
2022-07-29,646910
2022-07-29,2535070
2022-07-30,1821166
2022-07-30,3257822
2022-07-30,2551910
2022-07-30,601651
2022-07-30,824631
2022-07-30,1168288
2022-07-30,1120789
2022-07-30,2876639
2022-07-31,2454478
2022-07-31,510270
2022-07-31,1124242
2022-07-31,5307042
2022-07-31,719615
2022-07-31,761940
2022-07-31,1362532
2022-07-31,1053446
2022-08-01,1436527
2022-08-01,1423093
2022-08-01,1262310
2022-08-01,1025289
2022-08-01,851676
2022-08-01,577771
2022-08-01,1013307
2022-08-01,1826473
2022-08-01,2598136
2022-08-02,755829
2022-08-02,1887991
2022-08-02,9154345
2022-08-02,957812
2022-08-02,613845
2022-08-02,1982689
2022-08-02,731999
2022-08-02,1023050
2022-08-02,651765
2022-08-02,557379
2022-08-03,1578223
2022-08-03,3909201
2022-08-03,517614
2022-08-03,1492465
2022-08-03,577567
2022-08-03,1171878
2022-08-03,1314606
2022-08-04,551226
2022-08-04,1301494
2022-08-04,962486
2022-08-05,1006977
2022-08-05,927577
2022-08-05,566298
2022-08-05,421507
2022-08-05,774124
2022-08-05,1152203
2022-08-05,3388070
2022-08-05,4192708
2022-08-05,1761369
2022-08-05,2523433
2022-08-06,630289
2022-08-06,2370209
2022-08-06,812130
2022-08-06,1260777
2022-08-06,1916220
2022-08-06,2225714
2022-08-06,1776954
2022-08-06,5303923
2022-08-06,1475967
2022-08-06,1491814
2022-08-06,1078872
2022-08-06,722037
2022-08-07,1215725
2022-08-07,2175596
2022-08-07,426248
2022-08-07,2114896
2022-08-07,1672040
2022-08-07,669703
2022-08-07,3206263
2022-08-07,727176
2022-08-07,2296303
2022-08-07,680265
2022-08-07,445843
2022-08-07,950448
2022-08-07,1047030
2022-08-08,998169
2022-08-08,1308886
2022-08-08,2161733
2022-08-08,3340549
2022-08-08,1389626
2022-08-08,1000425
2022-08-08,1513012
2022-08-08,1052299
2022-08-08,639389
2022-08-08,730107
2022-08-09,1054887
2022-08-09,976528
2022-08-09,2392521
2022-08-09,1234135
2022-08-09,1205290
2022-08-09,721337
2022-08-09,1067785
2022-08-09,720417
2022-08-09,1629637
2022-08-09,504724
2022-08-10,578418
2022-08-10,1158864
2022-08-10,2477400
2022-08-10,1315810
2022-08-10,878952
2022-08-10,1099118
2022-08-10,1164288
2022-08-10,1566968
2022-08-10,854263
2022-08-10,462724
2022-08-11,1569020
2022-08-11,703476
2022-08-11,1343200
2022-08-11,448334
2022-08-11,1809423
2022-08-11,1019494
2022-08-11,2053601
2022-08-11,2707454
2022-08-12,4499882
2022-08-12,1454538
2022-08-12,1130442
